127.0.0.1 - - [08/Oct/2019:14:15:30 +0900] "GET / HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/core-img/toggler.png HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/core-img/newlogo.png HTTP/1.1" 200 82394
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/ddd.css HTTP/1.1" 200 50488
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/10.PNG HTTP/1.1" 200 575665
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/classy-nav.css HTTP/1.1" 200 22859
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/11.PNG HTTP/1.1" 200 1653456
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/animate.css HTTP/1.1" 200 57095
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/magnific-popup.css HTTP/1.1" 200 5599
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/9.PNG HTTP/1.1" 200 3904710
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/css/nice-select.css HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/12.PNG HTTP/1.1" 200 3871542
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/14.PNG HTTP/1.1" 200 506777
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/13.PNG HTTP/1.1" 200 1556579
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/header1.jpg HTTP/1.1" 200 150819
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/ HTTP/1.1" 200 27848
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/062.jpg HTTP/1.1" 200 180924
0:0:0:0:0:0:0:1 - - [08/Oct/2019:14:15:33 +0900] "GET /coffee/resources/img/bg-img/04.jpg HTTP/1.1" 200 128824
